Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Alexander Eriksson,M,SBD,Raw,28.5,24-34,24-39,Open,73.5,74,230,242.5,250,,250,167.5,177.5,182.5,,182.5,277.5,292.5,307.5,,307.5,740,8,537.87,534.87,517.26,109.02,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Gustav Hedlund,M,SBD,Raw,27.5,24-34,24-39,Open,92.65,93,295,312.5,320,,320,200,210,-217.5,,210,320,332.5,345,,345,875,2,557.73,550.65,527.11,114.68,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Matilda Hjälle,F,SBD,Raw,32,24-34,24-39,Open,106.75,84+,205,215,222.5,,222.5,142.5,150,155,,155,195,205,215,,215,592.5,6,493.49,484.95,413.21,103.96,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Anna-Lena Bellqvist,F,SBD,Raw,35.5,35-39,24-39,Open,152.75,84+,-240,240,250,,250,112.5,117.5,125,,125,-217.5,-217.5,217.5,,217.5,592.5,7,456.67,455.28,381.18,98.69,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ellinor Svensson,F,SBD,Raw,36.5,35-39,24-39,Open,82.65,84,175,185,190,,190,90,95,97.5,,97.5,200,210,-215,,210,497.5,11,461.34,447.31,391.50,94.56,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Daiana La Bella,F,SBD,Raw,29.5,24-34,24-39,Open,56.2,57,152.5,162.5,167.5,,167.5,75,80,82.5,,82.5,150,160,-162.5,,160,410,17,474.12,481.06,425.49,97.21,Yes,Argentina,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Madelein Canto,F,SBD,Raw,33.5,24-34,24-39,Open,46.55,47,115,120,122.5,,122.5,65,-70,-70,,65,140,-145,145,,145,332.5,10,438.88,450.28,401.70,93.06,Yes,Argentina,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sonia Gonçalves Da Silva,F,SBD,Raw,26,24-34,24-39,Open,66.9,69,155,162.5,167.5,,167.5,85,90,92.5,,92.5,177.5,187.5,195,,195,455,15,472.18,467.38,412.36,95.94,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Pascal Suckow,M,SBD,Raw,34,24-34,24-39,Open,92.65,93,270,290,-302.5,,290,165,170,,,170,300,-315,,,300,760,19,484.43,478.28,457.83,99.61,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Szilárd Bereczki-Király,M,SBD,Raw,24,24-34,24-39,Open,118.05,120,300,315,322.5,,322.5,210,222.5,225,,225,290,-310,310,,310,857.5,7,495.19,494.93,474.14,100.40,Yes,Hungary,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Aaron Thompson #1,M,SBD,Raw,37.5,35-39,24-39,Open,178.45,120+,350,380,387.5,,387.5,205,210,212.5,,212.5,-310,310,325,,325,925,9,475.44,498.50,466.44,92.36,Yes,England,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Luciano Delorenzi,M,SBD,Raw,31.5,24-34,24-39,Open,119.7,120,287.5,300,307.5,,307.5,187.5,197.5,202.5,,202.5,300,315,-325,,315,825,14,474.20,474.59,454.77,96.01,Yes,Costa Rica,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Enikő Tóth,F,SBD,Raw,24.5,24-34,24-39,Open,75,76,157.5,167.5,175,,175,90,-95,95,,95,177.5,192.5,-200,,192.5,462.5,21,450.46,439.67,386.76,91.76,Yes,Hungary,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Milan Smiljanić,M,SBD,Raw,44,40-44,40-49,Open,148.95,120+,300,310,320,,320,215,225,-230,,225,245,255,-275,,255,800,18,431.02,443.07,419.16,85.13,Yes,Serbia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Federico Murru,M,SBD,Raw,27,24-34,24-39,Open,65.7,66,200,212.5,-220,,212.5,-150,152.5,160,,160,215,225,-237.5,,225,597.5,12,469.74,470.92,457.70,93.37,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Christos Konstantinou,M,SBD,Raw,29,24-34,24-39,Open,73.4,74,240,242.5,265,,265,150,-157.5,-162.5,,150,265,282.5,290,,290,705,12,512.89,510.07,493.30,103.94,Yes,Cyprus,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Stefanie Gierlinger,F,SBD,Raw,28.5,24-34,24-39,Open,121.35,84+,187.5,197.5,205,,205,105,-112.5,112.5,,112.5,200,210,-220,,210,527.5,9,421.94,420.98,356.49,90.26,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alain Jost,M,SBD,Raw,25,24-34,24-39,Open,71.7,74,195,210,220,,220,140,147.5,-152.5,,147.5,262.5,-275,275,,275,642.5,18,474.76,472.86,457.78,95.89,Yes,Switzerland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Pantea Supanetz,F,SBD,Raw,33,24-34,24-39,Open,62.9,63,157.5,-167.5,167.5,,167.5,100,105,107.5,,107.5,182.5,-195,-200,,182.5,457.5,8,492.52,491.93,434.39,100.20,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Joel Christopher Catena,M,SBD,Raw,26.5,24-34,24-39,Open,65.8,66,207.5,220,227.5,,227.5,150,-155,-155,,150,230,245,255,,255,632.5,7,496.70,497.88,483.86,98.76,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Michael Leitner,M,SBD,Raw,28.5,24-34,24-39,Open,115.8,120,272.5,287.5,-297.5,,287.5,185,195,-202.5,,195,302.5,325,337.5,,337.5,820,15,476.69,475.59,455.36,96.83,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alexander Renner,M,SBD,Raw,23.5,24-34,24-39,Open,147.7,120+,285,305,310,,310,215,225,230,,230,310,345,360,,360,900,12,486.00,499.05,472.41,96.08,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Thomas Jost,M,SBD,Raw,30.5,24-34,24-39,Open,92.7,93,260,275,282.5,,282.5,175,182.5,187.5,,187.5,287.5,302.5,315,,315,785,13,500.24,493.89,472.76,102.86,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Michael Wimmesberger,M,SBD,Raw,30.5,24-34,24-39,Open,82.6,83,235,245,252.5,,252.5,152.5,-157.5,-157.5,,152.5,260,280,-295,,280,685,22,463.70,458.55,441.19,95.05,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jelena Bijelic,F,SBD,Raw,31,24-34,24-39,Open,51.85,52,122.5,130,135,,135,80,85,-90,,85,165,175,-180,,175,395,10,482.43,493.52,437.51,99.99,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Andreas Polednak,M,SBD,Raw,34,24-34,24-39,Open,91.8,93,-230,230,245,,245,155,160,165,,165,285,305,-322.5,,305,715,32,457.80,451.97,432.81,94.13,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Paul Egger,M,SBD,Raw,24.5,24-34,24-39,Open,102.8,105,260,275,282.5,,282.5,150,157.5,162.5,,162.5,300,320,340,,340,785,21,477.55,472.68,451.34,97.88,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Christina Eggel,F,SBD,Raw,29.5,24-34,24-39,Open,75.5,76,165,172.5,177.5,,177.5,87.5,92.5,95,,95,195,207.5,-212.5,,207.5,480,16,465.88,454.42,399.63,94.93,Yes,Austria,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Hema Govind,F,SBD,Raw,26,24-34,24-39,Open,83.85,84,190,200,-205,,200,107.5,112.5,-117.5,,112.5,195,205,210,,210,522.5,9,481.19,466.35,407.76,98.74,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Timothy Monigatti,M,SBD,Raw,26,24-34,24-39,Open,73.85,74,267.5,277.5,283.5,,283.5,165,170,-172.5,,170,297.5,315,324.5,,324.5,778,2,563.74,560.43,541.87,114.34,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mei-Xiang Liu,F,SBD,Raw,39.5,35-39,40-49,Open,46.65,47,110,120,122.5,,122.5,50,55,-60,,55,140,147.5,-152.5,,147.5,325,12,428.30,439.45,391.97,90.76,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Meghan Scanlon,F,SBD,Raw,35,35-39,24-39,Open,62.75,63,180,187.5,195,,195,120,-125,127.5,,127.5,192.5,205,210,,210,532.5,2,574.10,573.61,506.53,116.80,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nur Nadhirah Amran,F,SBD,Raw,25.5,24-34,24-39,Open,108.6,84+,155,165,172.5,,172.5,85,92.5,-95,,92.5,167.5,177.5,-185,,177.5,442.5,12,366.35,360.78,307.25,77.34,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sam Butterworth,M,SBD,Raw,27.5,24-34,24-39,Open,119.8,120,280,295,300,,300,177.5,182.5,-185,,182.5,300,-310,-310,,300,782.5,18,449.64,450.05,431.26,91.03,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Michael Rand,M,SBD,Raw,29,24-34,24-39,Open,103.05,105,270,282.5,290,,290,182.5,190,-195,,190,300,320,330,,330,810,15,492.26,487.30,465.30,100.89,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Callan Gibbons,M,SBD,Raw,30.5,24-34,24-39,Open,91.85,93,265,275,282.5,,282.5,162.5,170,172.5,,172.5,295,312.5,-330,,312.5,767.5,17,491.28,485.03,464.45,101.02,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
James Le,M,SBD,Raw,22.5,20-23,19-23,Open,82.55,83,255,270,-280,,270,165,-175,-175,,165,260,277.5,287.5,,287.5,722.5,18,489.25,483.83,465.53,100.29,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Steven Day,M,SBD,Raw,30.5,24-34,24-39,Open,74,74,247.5,262.5,-270,,262.5,155,160,162.5,,162.5,257.5,275,282.5,,282.5,707.5,11,511.98,508.91,492.02,103.87,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Yuki Kashima,M,SBD,Raw,26,24-34,24-39,Open,65.85,66,215,-225,-225,,215,152.5,157.5,162.5,,162.5,225,240,-250,,240,617.5,9,484.65,485.77,472.08,96.37,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rebecca Tancevski,F,SBD,Raw,28.5,24-34,24-39,Open,83.45,84,147.5,160,-167.5,,160,80,85,-87.5,,85,175,187.5,190,,190,435,16,401.52,389.19,340.41,82.36,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Brittany Romas,F,SBD,Raw,26.5,24-34,24-39,Open,71.35,76,167.5,175,180,,180,97.5,102.5,105,,105,187.5,197.5,-200,,197.5,482.5,14,482.78,473.81,417.45,98.17,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Schae Zarew,F,SBD,Raw,28.5,24-34,24-39,Open,62.25,63,170,177.5,-182.5,,177.5,97.5,102.5,105,,105,-190,190,200,,200,482.5,5,522.75,522.92,461.82,106.39,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Elizabeth Craven,F,SBD,Raw,47.5,45-49,40-49,Open,56.5,57,-140,145,-150,,145,75,80,82.5,,82.5,162.5,172.5,180,,180,407.5,20,469.58,476.14,421.09,96.22,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Vicky Kijumnuayporn,F,SBD,Raw,32.5,24-34,24-39,Open,46.85,47,135,142.5,-145,,142.5,85,87.5,90,,90,157.5,167.5,-172.5,,167.5,400,5,525.47,539.20,480.78,111.23,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jackson Stubberfield,M,SBD,Raw,28,24-34,24-39,Open,148.05,120+,300,322.5,335,,335,190,197.5,202.5,,202.5,300,322.5,330,,330,867.5,15,468.15,480.87,455.12,92.53,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Adam Jones #1,M,SBD,Raw,35,35-39,24-39,Open,92.8,93,282.5,300,-305,,300,147.5,155,160,,160,-302.5,302.5,325,,325,785,14,499.98,493.63,472.50,102.80,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Xinyu Liang,F,SBD,Raw,31,24-34,24-39,Open,50.55,52,-117.5,-117.5,117.5,,117.5,62.5,-65,-65,,62.5,145,152.5,160,,160,340,18,422.73,433.16,384.42,88.00,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Natalie Laalaai,F,SBD,Raw,27.5,24-34,24-39,Open,137.9,84+,232.5,242.5,250,,250,115,120,122.5,,122.5,258,268,-275.5,,268,640.5,5,498.05,499.45,420.75,107.70,Yes,Australia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mehpare Atay,F,SBD,Raw,33.5,24-34,24-39,Open,51.45,52,135,140,142.5,,142.5,55,60,-62.5,,60,135,142.5,-147.5,,142.5,345,17,423.65,433.63,384.54,87.92,Yes,Turkey,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Cenk Koçak,M,SBD,Raw,26.5,24-34,24-39,Open,143.2,120+,335,355,370,,370,230,-240,240,,240,370,-390,-390,,370,980,3,533.69,545.81,517.90,105.88,Yes,Turkey,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Doğukan Sari,M,SBD,Raw,25,24-34,24-39,Open,104.4,105,290,305,-312.5,,305,190,-202.5,202.5,,202.5,300,320,-330,,320,827.5,10,500.22,495.48,473.12,102.44,Yes,Turkey,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Carola Garra,F,SBD,Raw,28.5,24-34,24-39,Open,62.9,63,195,202.5,207.5,,207.5,135,142.5,-145.5,,142.5,192.5,200,207.5,,207.5,557.5,1,600.18,599.45,529.34,122.10,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Valentina Presenti,F,SBD,Raw,32,24-34,24-39,Open,56.15,57,150,157.5,-162.5,,157.5,75,-80,-80,,75,165,175,180,,180,412.5,14,477.29,484.33,428.39,97.87,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Erik Mata,M,SBD,Raw,26,24-34,24-39,Open,103.05,105,280,302.5,310,,310,180,190,-195,,190,285,-302.5,302.5,,302.5,802.5,17,487.71,482.78,460.99,99.95,Yes,Hungary,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Cian Madden,M,SBD,Raw,27.5,24-34,24-39,Open,92.75,93,275,290,300,,300,167.5,175,-177.5,,175,280,-297.5,-302.5,,280,755,24,480.99,474.89,454.57,98.90,Yes,Ireland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alison O'Reilly,F,SBD,Raw,31,24-34,24-39,Open,83.3,84,182.5,190,195,,195,122.5,127.5,-130,,127.5,192.5,205,210,,210,532.5,5,491.94,476.86,417.14,100.89,Yes,Ireland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Dawn Steacy,F,SBD,Raw,35,35-39,24-39,Open,51.55,52,112.5,120,-122.5,,120,80,85,-87.5,,85,152.5,160,165,,165,370,14,453.73,464.36,411.75,94.13,Yes,Ireland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Emma McDermott,F,SBD,Raw,30.5,24-34,24-39,Open,74.7,76,150,160,167.5,,167.5,90,95,-97.5,,95,182.5,197.5,207.5,,207.5,470,20,458.74,447.93,394.08,93.43,Yes,Ireland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ryan Kiecker,M,SBD,Raw,31.5,24-34,24-39,Open,92.1,93,260,275,285,,285,165,175,-182.5,,175,285,300,310,,310,770,16,492.23,485.97,465.30,101.21,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kasemsand Senumong,M,SBD,Raw,28,24-34,24-39,Open,64.8,66,-235,235,-250,,235,142.5,-145,-145,,142.5,260,280,-301,,280,657.5,5,522.29,524.20,509.82,103.49,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Eric Smulders,M,SBD,Raw,33.5,24-34,24-39,Open,65.85,66,205,217.5,-222.5,,217.5,137.5,145,-147.5,,145,235,247.5,-260,,247.5,610,10,478.76,479.87,466.34,95.20,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Clinton Lee #1,M,SBD,Raw,30,24-34,24-39,Open,73.1,74,247.5,257.5,262.5,,262.5,160,-165,-165,,160,290,302.5,-317.5,,302.5,725,9,528.86,526.09,508.89,107.12,Yes,Singapore,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sara Soto Guzman,F,SBD,Raw,56.5,55-59,50-59,Open,61.25,63,100,-110,110,,110,60,62.5,65,,65,-160,160,-177.5,,160,335,18,366.60,367.59,324.70,74.66,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nour Al Jundi,F,SBD,Raw,28,24-34,24-39,Open,46.5,47,110,-115,-115,,110,77.5,82.5,-87.5,,82.5,115,122.5,-130,,122.5,315,14,416.11,426.91,380.88,88.26,Yes,Thailand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sonita Muluh,F,SBD,Raw,26,24-34,24-39,Open,123.05,84+,260,277.5,285.5,,285.5,135,-142.5,142.5,,142.5,245,260.5,-267.5,,260.5,688.5,2,548.66,548.12,463.80,117.54,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Zoé Coinne,F,SBD,Raw,25,24-34,24-39,Open,56.3,57,132.5,137.5,-140,,137.5,75,80,82.5,,82.5,130,140,-145,,140,360,27,415.81,421.81,373.07,85.24,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Andrew Rubinstein,M,SBD,Raw,30.5,24-34,24-39,Open,91.2,93,235,247.5,250,,250,170,177.5,180,,180,280,300,-310,,300,730,29,468.91,462.94,443.43,96.42,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Stefanie Verhulst,F,SBD,Raw,32,24-34,24-39,Open,51.2,52,117.5,-125,-125,,117.5,65,67.5,-70,,67.5,135,145,150,,150,335,19,412.78,422.64,374.87,85.74,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Elise Rummens,F,SBD,Raw,41.5,40-44,40-49,Open,56.15,57,127.5,132.5,137.5,,137.5,72.5,-75,-75,,72.5,170,182.5,192.5,,192.5,402.5,23,465.72,472.59,418.00,95.49,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Steve Ringoot,M,SBD,Raw,33.5,24-34,24-39,Open,141.9,120+,320,335,-342.5,,335,220,227.5,-230,,227.5,320,335,-337.5,,335,897.5,13,490.00,500.53,475.27,97.32,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jeroen Van Heesvelde,M,SBD,Raw,32.5,24-34,24-39,Open,104.45,105,260,280,285,,285,187.5,195,-200,,195,282.5,297.5,310,,310,790,19,477.46,472.94,451.60,97.78,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rob Esselens,M,SBD,Raw,28.5,24-34,24-39,Open,92.65,93,265,275,-280,,275,182.5,190,-195,,190,270,290,-300,,290,755,23,481.24,475.14,454.82,98.95,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jochen Strubbe,M,SBD,Raw,24.5,24-34,24-39,Open,104.85,105,265,277.5,282.5,,282.5,177.5,-182.5,182.5,,182.5,295,-320,-330,,295,760,25,458.62,454.37,433.87,93.90,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Elias de Buck,M,SBD,Raw,26.5,24-34,24-39,Open,81.3,83,247.5,260,-265,,260,167.5,-177.5,180,,180,262.5,282.5,292.5,,292.5,732.5,14,500.37,495.09,476.69,102.47,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sahyuri Lalime,F,SBD,Raw,38.5,35-39,24-39,Open,62.6,63,162.5,172.5,180,,180,82.5,87.5,-92.5,,87.5,187.5,195,-200,,195,462.5,7,499.36,499.11,440.76,101.61,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Pieter-Francois van Zyl,M,SBD,Raw,24.5,24-34,24-39,Open,150.85,120+,270,290,-300,,290,160,-172.5,-172.5,,160,300,310,-315,,310,760,19,408.08,420.17,397.10,80.49,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sibusiso Sishi,M,SBD,Raw,37.5,35-39,24-39,Open,91.9,93,250,260,-265,,260,150,160,-165,,160,270,280,295,,295,715,33,457.55,451.73,432.56,94.08,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nicole Coopoosamy,F,SBD,Raw,29.5,24-34,24-39,Open,75.6,76,-157.5,157.5,-162.5,,157.5,87.5,92.5,-95,,92.5,190,207.5,-212.5,,207.5,457.5,23,443.73,432.77,380.57,90.42,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alexa Pentopoulos,F,SBD,Raw,28.5,24-34,24-39,Open,50.95,52,120,-127.5,127.5,,127.5,52.5,57.5,-60,,57.5,125,135,145,,145,330,21,408.02,417.90,370.74,84.82,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Farzana Botha,F,SBD,Raw,37,35-39,24-39,Open,51.75,52,95,-102.5,102.5,,102.5,65,70,-72.5,,70,140,145,152.5,,152.5,325,22,397.47,406.67,360.54,82.41,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Tom Wewege,M,SBD,Raw,30.5,24-34,24-39,Open,103.7,105,260,275,-280,,275,190,-202.5,-202.5,,190,275,295,-300,,295,760,24,460.68,456.16,435.57,94.38,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Nishalin Govender,M,SBD,Raw,31,24-34,24-39,Open,73.7,74,175,187.5,195,,195,105,112.5,117.5,,117.5,260,280,-295,,280,592.5,20,429.90,427.43,413.31,87.17,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Olivia Perotti,F,SBD,Raw,34,24-34,24-39,Open,82.05,84,165,175,-182.5,,175,75,80,82.5,,82.5,160,175,-182.5,,175,432.5,17,402.48,390.35,341.81,82.45,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Megan Leighton,F,SBD,Raw,26.5,24-34,24-39,Open,62.8,63,135,-142.5,-142.5,,135,62.5,65,67.5,,67.5,150,160,-165,,160,362.5,16,390.63,390.25,344.61,79.47,Yes,South Africa,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kimberly Walford,F,SBD,Raw,44,40-44,40-49,Open,74.8,76,175,180,-185,,180,107.5,112.5,115,,115,230,240,-247.5,,240,535,6,521.81,509.45,448.18,106.28,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Tony Cliffe,M,SBD,Raw,38.5,35-39,24-39,Open,119.5,120,310,340,345,,345,230,242.5,-247.5,,242.5,340,352.5,365,,365,952.5,1,547.79,548.15,525.25,110.93,Yes,England,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Susan Elwyn,F,SBD,Raw,75,75-79,70-999,Open,48.2,52,65,-75,82.5,,82.5,30,-37.5,-37.5,,30,-102.5,105,-125,,105,217.5,24,279.82,287.18,255.54,58.83,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Scott Jennings,M,SBD,Raw,27.5,24-34,24-39,Open,82.4,83,-247.5,-247.5,247.5,,247.5,170,177.5,182.5,,182.5,-305,305,315,,315,745,11,505.00,499.44,480.59,103.51,Yes,Jamaica,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sami DePass,F,SBD,Raw,25,24-34,24-39,Open,75.2,76,175,185,195,,195,100,105,110,,110,205,217.5,227.5,,227.5,532.5,7,517.91,505.37,444.51,105.52,Yes,Jamaica,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
