Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Jure Rus,M,SBD,Raw,32,24-34,24-39,Open,82.5,83,250,262.5,270,,270,157.5,162.5,-167.5,,162.5,265,280,287.5,,287.5,720,19,487.72,482.33,464.10,99.97,Yes,Slovenia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Aleksandra Aranitovic,F,SBD,Raw,32.5,24-34,24-39,Open,51.9,52,-145,-152.5,152.5,,152.5,92.5,95,97.5,,97.5,170,175,-182.5,,175,425,4,518.73,530.61,470.37,107.49,Yes,Serbia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Viktor Samúelsson,M,SBD,Raw,29.5,24-34,24-39,Open,104.85,105,270,280,290,,290,185,195,200,,200,300,312.5,322.5,,322.5,812.5,14,490.30,485.76,463.85,100.38,Yes,Iceland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kjell Egil Bakkelund,M,SBD,Raw,34.5,24-34,24-39,Open,73.4,74,232.5,242.5,250,,250,182.5,187.5,192.5,,192.5,300,317.5,-328,,317.5,760,4,552.91,549.86,531.79,112.05,Yes,Norway,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Dmytro Vovk,M,SBD,Raw,27,24-34,24-39,Open,143,120+,335,352.5,-362.5,,352.5,-235,235,247.5,,247.5,315,335,-345,,335,935,8,509.38,520.86,494.27,101.08,Yes,Ukraine,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jens Peter Smalbro,M,SBD,Raw,28.5,24-34,24-39,Open,119.55,120,300,320,-327.5,,320,165,177.5,185,,185,325,342.5,-355,,342.5,847.5,10,487.34,487.67,467.30,98.68,Yes,Denmark,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mia Schjøtt Irving,F,SBD,Raw,24.5,24-34,24-39,Open,68.9,69,157.5,165,172.5,,172.5,80,82.5,85,,85,185,197.5,-207.5,,197.5,455,16,464.25,457.67,403.57,94.34,Yes,Denmark,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lisette I Hansen,F,SBD,Raw,34,24-34,24-39,Open,46.8,47,107.5,112.5,117.5,,117.5,62.5,65,,,65,130,137.5,-147.5,,137.5,320,13,420.71,431.69,384.95,89.08,Yes,Denmark,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Katja Jørgensen,F,SBD,Raw,34.5,24-34,24-39,Open,81.05,84,175,185,190,,190,102.5,107.5,110,,110,205,217.5,225,,225,525,6,491.50,476.95,417.96,100.59,Yes,Denmark,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Maja Bonde,F,SBD,Raw,29.5,24-34,24-39,Open,75.8,76,157.5,165,172.5,,172.5,95,100,-102.5,,100,185,200,,,200,472.5,18,457.64,446.23,392.36,93.27,Yes,Denmark,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
